Ayuntamiento,Código Postal,Dirección,Teléfono,Web,Email,Enlace maps,Horario
Basauri,48970,"Kareaga Goikoa,52,48970 Basauri",944666300,https://www.basauri.eus,oiac@basauri.net,https://maps.app.goo.gl/deFvJnAaTDZHy25V9,L-J:09:00-20:00 V:09:00-15:00
Bedia,48390,"Agirre Lehendakaria enparantza,1,48390 Bedia",946314200,https://www.bedia.biz,idazkaritza@bedia.biz,https://maps.app.goo.gl/kDtdypZbVMMu8v5e8,L-V:08:30-14:30
Berango,48640,"Elexalde,3,48640 Berango",946680008,https://www.berango.net,berangokoudala@berango.org,https://maps.app.goo.gl/xq526BqXWx654V368,L-V:09:00-14:00
Bermeo,48370,"Arana eta Goiri tar Sabinen enparantza,z/g.,48370 Bermeo",946179100,http://www.bermeo.eus,antolakuntza@bermeo.eus,https://maps.app.goo.gl/wJD9egFzDspm77Bh6,LXV :08:00-15:00 MJ:08:00-14:00 | 16:00-18:00
Berriatua,48710,"Herriko plaza,1,48710 Berriatua",946137030,https://www.berriatua.org,udala@berriatua.org,https://maps.app.goo.gl/g2TxB1iMMrTNSUzFA,
Berriz,48240,"Iturritza 51,48240 Berriz",946824036,https://www.berriz.eus,berriz@berriz.eus,https://maps.app.goo.gl/ZG4XC93JW5o7mWQSA,L-V:09:00-14:00
Bilbao,48007,"Plaza Ernesto Erkoreka,1,48007 Bilbo",944204200,https://www.bilbao.eus,registro@ayto.bilbao.net,https://maps.app.goo.gl/e6d8RbcG6jDWhXZYA,LMXV:08:30-14:00 J:08:30-14:00 | 16:30-19:30
Busturia,48350,"Barrio Axpe,1,48350 Busturia",946870050,https://www.busturia.eus,udala.busturia@bizkaia.eus,https://maps.app.goo.gl/LveaufCMvB5mrKo79,L-V:09:00-14:00
Derio,48160,"Herriko Plaza,3,48160 Derio",944541019,https://www.derio.eus,webmaster@deriokoudala.net,https://maps.app.goo.gl/GKCnUY2odjqJxdC27,L-V:08:30-15:30
Dima,48141,"Ugarana Auzoa,1,48141 Dima",946315725,https://www.dima.eus,idazkaritza.dima@bizkaia.org,https://maps.app.goo.gl/EMvYiaRDErCc1Jtp9,
Durango,48200,"Barrenkalea,17,48200 Durango",946030000,https://www.durango.eus,durango@durango-udala.net,https://maps.app.goo.gl/pDeo2PMnoxJgdSF28,L-J:08:00-14:00 | 15:00-19:00 V:08:00-13:00
Ea,48287,"Donibane Enparantza,2,48287 Ea",946275227,https://www.ea.eus,udala@ea.eus,https://maps.app.goo.gl/mVm9WFaQtpAhVsrh7,L-V:09:00-14:00
Elantxobe,48310,"Nagusia,21,48310 Elantxobe",946276108,https://www.elantxobe.eu,idazkaritza.elantxobe@bizkaia.org,https://maps.app.goo.gl/PgeEhpqQMtsWPbov7,L-V:08:00-14:00
Elorrio,48230,"Herriko plaza,1,48230 Elorrio",946582712,https://www.elorrio.eus,elorrio@elorrio.net,https://maps.app.goo.gl/cqyrPEcpgbbBxkWn8,
Erandio,48950,"Irailaren 23a Plaza,48950 Erandio",944890100,https://www.erandio.eus,alkatetza@erandioko-udala.net,https://maps.app.goo.gl/FynTwZh1ff4C17Rb6,
Ereño,48313,"Elexalde,10,48313 Ereño",946254621,https://www.ereño.eus,udala@ereno.eus,https://maps.app.goo.gl/QxBFaA8cq5t3t4MeA,L-V:10:00-13:00
Ermua,48260,"Marqués de Valdespina,1,48260 Ermua",943179010,https://www.ermua.eus,administrador_web@udalermua.net,https://maps.app.goo.gl/baD8cVQMXFNGXJqk9,L-V:08:00-15:00
Errigoiti,48309,"Uria,1,48309 Errigoiti",946254190,https://www.errigoiti.net,udala@errigoiti.eus,https://maps.app.goo.gl/BX1kSzTTfkrhVLuC9,L-V:08:30-14:30
Etxebarri,48450,"Sabino Arana,1 A,48450 Etxebarri",944267000,https://www.etxebarri.eus,etxebarri@etxebarri.eus,https://maps.app.goo.gl/5Hy1KzAnbtaY3vSY9,L-V:08:00-14:00
Etxebarria,48277,"Peñanekua Enparantza,1,48277 Etxebarria",946167409,https://www.etxebarria.biz,udala.etxebarria@bizkaia.org,https://maps.app.goo.gl/XGs3ywQesRsuDicv8,
Forua,48393,"Bº Elejalde,1,48393 Forua",946255180,https://www.forua.net,idazkaritza.forua@bizkaia.org,https://maps.app.goo.gl/fYHZEUMSUCZUkjho9,
Fruiz,48116,"Aldai enparantza,5,48116 Fruiz",946153210,http://www.fruiz.net,udala.fruiz@bizkaia.org,https://maps.app.goo.gl/HYHZCR2ijZtrbQoV9,L-V:09:00-14:00
Galdakao,48960,"Kurtzeko Plaza,1,48960 Galdakao",944010500,https://www.galdakao.eus,esan@galdakao.net,https://maps.app.goo.gl/XEr6Nu8C9WsKkZG29,L-V:08:30-14:30
Galdames,48191,"Plaza San Pedro,6,48191 Galdames",946504154,https://www.galdames.org,secretario@galdames.org,https://maps.app.goo.gl/VzcJYrBNZsxJUPvz9,L-V:08:00-15:00
Gamiz-Fika,48113,"Bº Ergoien,s/n,48113 Gamiz-Fika",946153114,https://www.gamiz-fika.eus,gamiz.fika@bizkaia.org,https://maps.app.goo.gl/h3mE2fgLkh7g5dkCA,L-V:08:00-14:00
Garai,48200,"San Miguel,20,48200 Garai",946816393,https://www.garai-udala.eus,izabala.garai@bizkaia.org,https://maps.app.goo.gl/waBzt9hYtkFHAQuG8,
Gatika,48110,"Garai Auzoa,s/n.,48110 Gatika",946151201,https://www.gatika.eus,gatika@gatika.net,https://maps.app.goo.gl/r7JXmGUnq8BuaFmT7,
Gautegiz Arteaga,48314,"Herriko Enparantza,1,48314 Gautegiz Arteaga",946252953,https://www.gautegizarteaga.eus,idazkaritza@gautegizarteaga.eus,https://maps.app.goo.gl/98Y1Z5MZgTkj394t6,
Gernika-Lumo,48300,"Plaza Fueros,3,48300 Gernika-Lumo",946270200,https://www.gernika-lumo.eus,alkatetza@gernika-lumo.eus,https://maps.app.goo.gl/6e5Wu1rLwesqtLJa6,L-V:08:00-13:30
Getxo,48992,"Fueros,1,48992 Getxo",944660000,http://www.getxo.eus,getxokoudala@getxo.eus,https://maps.app.goo.gl/T2wvA8AH9rk2ndWu7,L-V:08:00-14:00
Gizaburuaga,48289,"Elizaldea,2,48289 Gizaburuaga",946842586,https://www.gizaburuaga.eu,idazkaritza.gizaburuaga@bizkaia.org,https://maps.app.goo.gl/cb6mQVAEe7BkAhtn7,L-V:08:00-15:00
Gordexola,48192,"Pza. Molinar,1,48192 Gordexola",946799704,https://www.gordexola.eus,udala@gordexola.eus,https://maps.app.goo.gl/cYtKFYxnyZ3YY1np7,L-V:09:00-14:00
Gorliz,48630,"Plaza de la Iglesia,s/n.,48630 Gorliz",946770193,https://www.gorliz.eus,udala@gorliz.eus,https://maps.app.goo.gl/cj2jLdHP8YUKy8G27,L-V:08:00-14:00
Gueñes,48840,"Enkarterri,5,48840 Gueñes",946690004,https://www.guenes.eus,udala@guenes.eus,https://maps.app.goo.gl/4Z5VaZKLfiCfDKC2A,L-V:08:30-14:00
Ibarrangelu,48311,"Elejalde,s/n.,48311 Ibarrangelu",946276004,https://www.ibarrangelu.eus,udala.ibarrangelu@bizkaia.org,https://maps.app.goo.gl/tvM8ELWRgEbmQEYh6,
Igorre,48140,"Elexalde,1,48140 Igorre",946315384,https://www.igorre.net,udala@igorre.net,https://maps.app.goo.gl/fbr4vQ4Q2vNoqH3d7,
Ispaster,48288,"Elejalde,9,48288 Ispaster",946842999,https://www.ispaster.net,udala@ispaster.net,https://maps.app.goo.gl/Ui4Rj9r8MM1XmKiS6,L-V:09:00-14:00
Iurreta,48215,"Bidebarrieta,5,48215 Iurreta",946201200,https://www.iurreta.eus,idazkaritza@iurreta.net,https://maps.app.goo.gl/UHHfcoWoeXpspQA67,L-V:08:30-14:00
Izurtza,48213,"Barrio Elizalde,20,48213 Izurtza",946813548,https://www.izurtza.eus,udala.izurtza@bizkaia.org,https://maps.app.goo.gl/Um7aQzJDKHyrmqeP7,L-V:11:30-15:00
Karrantza Harana/Valle de Carranza,48891,"Barrio de Concha,1,48891 Karrantza Harana/Valle de Carranza",946806012,https://www.karrantza.org,udala@karrantza.org,https://maps.app.goo.gl/nhtfiDNAbp7QAz258,
Kortezubi,48315,"Enderika Auzoa,2,48315 Kortezubi",946255053,https://www.kortezubi.eus,udala@kortezubi.eus,https://maps.app.goo.gl/xH8zkSfueUra3Rm17,
Lanestosa,48895,"Manuela Saiz de Rozas,1,48895 Lanestosa",946806116,https://www.lanestosa.eus,secretaria.lanestosa@bizkaia.org,https://maps.app.goo.gl/bKM9uR9LCwt6GdhC9,L-V:08:00-15:00
Larrabetzu,48195,"Askatazunaren Enparantza,s/n.,48195 Larrabetzu",944557027,https://www.larrabetzu.eus,udala@larrabetzu.eus,https://maps.app.goo.gl/SajZjMYaTTEVZVuK6,L-V:08:00-14:00
Laukiz,48111,"Plaza Lauaxeta s/n.,48111 Laukiz",946151051,http://www.laukiz.net,administrazioa@laukiz.eus,https://maps.app.goo.gl/C3N49etqfaUXoT4TA,
Leioa,48940,"Barrio Elexalde,1,48940 Leioa",944008000,https://www.leioa.net,erregistro@leioa.net,https://maps.app.goo.gl/4ZcBmUGVRS1q8EgL6,L-V:08:00-13:30
Lekeitio,48280,"Gamarra Kalea,1,48280 Lekeitio",946034100,https://www.lekeitio.com,udala@lekeitio.com,https://maps.app.goo.gl/VAkn7zs1c4L4BvaQ7,L-V:09:00-14:00
Lemoa,48330,"Barrio Arraibi,1,48330 Lemoa",946313005,https://www.lemoa.net,administrazioa@lemoa.eus,https://maps.app.goo.gl/EqKB3RuPRY867kM8A,L-V:08:00-14:00
Lemoiz,48620,"Barrio Urizar,56,48620 Lemoiz",946879009,https://www.lemoiz.eus,udala@lemoiz.eus,https://maps.app.goo.gl/R9L1GZ8RW9twZeg47,L-V:09:00-13:30
Lezama,48196,"Barrio Aretxalde,1,48196 Lezama",944556007,https://www.lezama.eus,udala@lezama.eus,https://maps.app.goo.gl/h5nHyoPMFj4kVXbr7,LMXV:08:30-14:00 J:08:30-14:00 | 16:00-19:00
Loiu,48180,"Herriko Enparantza 1,48180 Loiu",944712310,https://www.loiu.eus,udala@loiu.org,https://maps.app.goo.gl/w52Wf7hgw47dhELZ6,L-V:08:00-13:30
Mallabia,48269,"Arteiz Kalea,4-behea,48269 Mallabia",943171461,https://www.mallabia.eus,aareitio.mallabia@bizkaia.org,https://maps.app.goo.gl/nuQ71t8WyvobyKpcA,L-V:08:00-15:00
Markina-Xemein,48270,"Goiko Portala 3,48270 Markina-Xemein",946167454,https://www.markina-xemein.eus,udala@markina-xemein.eus,https://maps.app.goo.gl/f9VvYY51ww749Sz36,L-V:08:15-14:30
Maruri-Jatabe,48112,"Erdigune Auzoa, 69, 48112 Maruri-Jatabe",946742253,https://www.maruri-jatabe.eus,maruri-jatabe@maruri-jatabe.eus,https://maps.app.goo.gl/wuymaHqJDTA2siH78,L-V:08:00-15:00
Mañaria,48212,"E.B. Kirikiño, 12, 48212 Mañaria",946818998,https://www.mañaria.eus,udala.manaria@bizkaia.org,https://maps.app.goo.gl/QbsQr8kJMpUtJUkz8,L-V:07:30-11:00
Mendata,48382,"Elexalde Auzoa, 1, 48382 Mendata",946254722,https://www.mendata.eus,idazkaritza@mendata.eus,https://maps.app.goo.gl/X1S5ny1dMsVR7rpi8,L-V:09:00-14:00
Mendexa,48289,"Zelaia Auzoa, 1, 48289 Mendexa",946842106,https://www.mendexa.net,alkatetza@mendexa.net ,https://maps.app.goo.gl/9tNgA5t8UsaXSfVJ7,
Meñaka,48120,"Plaza Elias Agirre, 1, 48120 Meñaka",946742101,https://www.meñaka.eus,alkatetza.menaka@bizkaia.org,https://maps.app.goo.gl/DjJcbcwuXtAQ3PM29,L-V:08:30-14:00
Morga,48115,"Barrio Andra Mari, s/n., 48115 Morga",946252270,http://www.morga.eus,udala@morga.eus,https://maps.app.goo.gl/t5oQGcoSq2d8wCnL6,LXJV:09:30-14:30 M:15:30-20:00
Mundaka,48360,"Lehendakari Agirre Enparantza, 1, 48360 Mundaka",946177200,https://www.mundaka.eus,udala.mundaka@bizkaia.org,https://maps.app.goo.gl/SAiEptLTYESjuSMz5,L-V:09:00-14:00
Mungia,48100,"Trobika 1, 48100 Mungia",946741516,https://www.mungia.eus,harrera@mungia.eus,https://maps.app.goo.gl/ez9Zo3bUAEwgWaXw6,L-V:07:30-14:30
Munitibar-Arbatzegi Gerrikaitz,48381,"Herriko Plaza 6, 48381 Munitibar-Arbatzegi Gerrikaitz",946164007,https://www.munitibar.org,administrazioa@munitibar.org,https://maps.app.goo.gl/gtRzM79tGVsMEpzF6,L-V:09:00-14:00
Murueta,48394,"Bº. Larrabe, 27, 48394 Murueta",946252451,https://www.murueta.eus,udala.murueta@bizkaia.org,https://maps.app.goo.gl/Q6eorNrcXw9JXaJw9,L-V:09:00-14:00
Muskiz,48550,"San Juan, 2, 48550 Muskiz",946706000,https://www.muskiz.org,ihernandez@muskiz.com,https://maps.app.goo.gl/V2asahMeDcKfX98Z9,L-V:09:00-14:00
Muxika,48392,"Ugarte Auzoa, 1, 48392 Muxika",946252701,https://www.muxikakoudala.eus,idazkaria@muxikakoudala.eus,https://maps.app.goo.gl/gBnHCqF7cfNhJC7G7,
Nabarniz,48312,"Elexalde auzoa, 2, 48312 Nabarniz",946255077,https://www.nabarniz.eus,udala@nabarniz.eus,https://maps.app.goo.gl/xY5EXAWQdBJ7LBk46,
Ondarroa,48700,"Musika Enparantza, 1, 48700 Ondarroa",946833672,https://www.ondarroa.eus,orokorra@ondarroa.eus,https://maps.app.goo.gl/G63Lfs9LZs6BYTC4A,
Orozko,48410,"Plaza Zubiaur, 3, 48410 Orozko",946339633,https://www.orozkoudala.com,administrazioa.orozko@bizkaia.org,https://maps.app.goo.gl/WcPn1MxHJdF1mDbM9,
Ortuella,48530,"Pz. 1º de Mayo s/n., 48530 Ortuella",946641461,https://www.ortuella.eus,secretaria@ortuella.eus,https://maps.app.goo.gl/nwLFpmZc4ou4AzgEA,L-V:08:00-14:30
Otxandio,48210,"Plaza Nagusia, 1, 48210 Otxandio",945450020,https://www.otxandio.eus,administrazioa@otxandio.eus,https://maps.app.goo.gl/ZsUwt6jFjxbSQcWp7,L-V:08:00-15:00
Plentzia,48620,"Plaza del Astillero, s/n., 48620 Plentzia",946773210,https://www.plentzia.eus,idazkaritza@plentzia.eus,https://maps.app.goo.gl/Bh9joUqJwJpfaLPt9,L-V:08:30-14:00
Portugalete,48920,"Plaza del Solar, s/n., 48920 Portugalete",944729200,https://www.portugalete.org,registro@portugalete.org,https://maps.app.goo.gl/grN2wrmaLBWAnS7g7,L-V:08:00-14:00
Santurtzi,48980,"Avda. Murrieta, 6, 48980 Santurtzi",944205800,https://www.santurtzi.net,alcaldia@santurtzi.eus,https://maps.app.goo.gl/hocURZDJm6GGmrqZ7,L-V:07:30-15:00
Sestao,48910,"Plaza El Kasko s/n., 48910 Sestao",944729000,https://www.sestao.eus,alkatea@sestao.eus,https://maps.app.goo.gl/2ma8iwZeBY3cZ6FQ9,L-V:09:00-14:00
Sondika,48150,"Goronda Gane bidea, 1, 48150 Sondika",944535010,https://www.sondika.eus,sondikakoudala@sondika.org,https://maps.app.goo.gl/cKsS8aSFJRsygmxF8,L-J:09:00-14:00|16:00-18:00 V:09:00-14:00
Sopela,48600,"Sabino Arana, 1, 48600 Sopela",944065500,https://sopela.eus,udala@sopela.eus,https://maps.app.goo.gl/jC9HRRUz3QedtxUVA,L-V:09:00-13:30
Sopuerta,48190,"Barrio Mercadillo, 48, 48190 Sopuerta",946504052,https://www.sopuerta.biz,ayto@sopuerta.biz,https://maps.app.goo.gl/P7pDfwpe4jhrtPWQ9,L-V:08:30-14:30
Sukarrieta,48395,"Ander Deuna Enparantza, 5, 48395 Sukarrieta",946870715,https://www.sukarrieta.eus,udala@sukarrieta.eus,https://maps.app.goo.gl/7nDonkBHd7Z9dVVn9,
Trucios-Turtzioz,48880,"Avda. Lehendakari Agirre, 51, 48880 Trucios-Turtzioz",946809040,https://www.turtzioz.org,idazkaritza.turtzioz@bizkaia.org,https://maps.app.goo.gl/M5yLTYJXBwzXdgvc9,
Ubide,48145,"San Juan, 4, 48145 Ubide",945450322,https://www.ubide.eus,abengoa@ubide.eus,https://maps.app.goo.gl/NeY1V7uZHCdkoRMaA,
Ugao-Miraballes,48490,"Herriaren enparantza, s/n., 48490 Ugao-Miraballes",946480711,https://www.ugao-miraballes.eus,udala@ugao-miraballes.eus,https://maps.app.goo.gl/DNU26SLBSPbq1NbP6,L-V:08:00-14:00
Urduliz,48610,"Plaza Elortza, 1, 48610 Urduliz",946762061,https://www.urduliz.eus,udala@urduliz.eus,https://maps.app.goo.gl/c7keZ6zwu8tELr9Z6,L-V:08:30-13:30
Urduña/Orduña,48460,"Foru Plaza, 1, 48460 Urduña/Orduña",945383003,https://www.urduna.com,bulegoak@urduna.com,https://maps.app.goo.gl/7jDBSLAYWnkYJHU3A,L-V:09:00-13:30
Valle de Trapaga-Trapagaran,48510,"Lauaxeta Enparantza, 1, 48510 Valle de Trapaga-Trapagaran",944920411,https://www.trapagaran.net,ayuntamiento.trapagaran@bizkaia.org,https://maps.app.goo.gl/KTrXdzVWTZ5ZRCa58,L-V:09:00-13:00
Zaldibar,48250,"Bizkaiko Diputazio Plaza, 1, 48250 Zaldibar",946827016,https://www.zaldibar.eus,zaldibar@zaldibar.eus,https://maps.app.goo.gl/kDecdw2fyvFdJWwv8,
Zalla,48860,"Kosme Bibanko, 2, 48860 Zalla",946390001,https://www.zalla.eus,sac@zalla.org,https://maps.app.goo.gl/paxJijT4KHfJZMZa7,L-V:08:30-14:00
Zamudio,48170,"Plaza Sabino Arana, 1, 48170 Zamudio",944060990,https://www.zamudio.eus,udala@zamudio.eus,https://maps.app.goo.gl/Kytfce1zVKwLfxYCA,LMJV:08:30-13:30 X:08:30-13:30|16:00-17:45
Zaratamo,48480,"Barrio Elexalde, 16, 48480 Zaratamo",946710052,https://www.zaratamo.com,administrazioa@zaratamo.eus,https://maps.app.goo.gl/ihv9rU5b2XPEEZYz8,L-V:09:00-14:00
Zeanuri,48144,"San Isidro, 10, 48144 Zeanuri",946739146,https://www.zeanuri.eus,udala@zeanuri.eus,https://maps.app.goo.gl/AtKpn4zDHWJrDKuW6,
Zeberio,48499,"Zubialde, 10, 48499 Zeberio",946481079,https://www.zeberio.net,alkatetza.zeberio@bizkaia.org,https://maps.app.goo.gl/CVdfvamw1ttR3gRA9,
Zierbena,48508,"La Cuesta, 1, 48508 Zierbena",946365336,https://www.zierbena.net,udala.zierbena@bizkaia.org,https://maps.app.goo.gl/2DzofBWfVRcxAzpZA,L-V:09:00-13:00
Ziortza-Bolibar,48279,"Domingo Ugartetxea 3, 48279 Ziortza-Bolibar",946165727,https://www.ziortza-bolibar.eus,udala@ziortza-bolibar.com,https://maps.app.goo.gl/3AbTZqLe8YU6xCd27,
